"90047","STANDARD","Los Angeles",,"Wagner","CA","Los Angeles County","America/Los_Angeles","323,213,562","33.95","-118.3","NA","US","0","36265",
"90048","STANDARD","Los Angeles","W Hollywood, West Hollywood","Bicentennial, Briggs","CA","Los Angeles County","America/Los_Angeles","310,323,213,415","34.07","-118.37","NA","US","0","17194",
"90049","STANDARD","Los Angeles",,"Barrington, Brentwood","CA","Los Angeles County","America/Los_Angeles","213,310,323,818","34.08","-118.49","NA","US","0","29275",
"90050","PO BOX","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","213","34.12","-118.2","NA","US","0","407",
"90051","PO BOX","Los Angeles","August F. Haw",,"CA","Los Angeles County","America/Los_Angeles","213","34.06","-118.24","NA","US","0","609",
"90052","PO BOX","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","213","33.97","-118.25","NA","US","0","0",
"90053","PO BOX","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","213","34.05","-118.23","NA","US","0","0",
"90054","PO BOX","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","213","34.06","-118.23","NA","US","0","0",
"90055","PO BOX","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","213","34.04","-118.25","NA","US","0","0",
"90056","STANDARD","Los Angeles","Baldwin Hills, Windsor Hills","Crenshaw","CA","Los Angeles County","America/Los_Angeles","323,213,310","33.98","-118.37","NA","US","0","7060",
"90057","STANDARD","Los Angeles",,"Flint","CA","Los Angeles County","America/Los_Angeles","213,323,310,562","34.06","-118.27","NA","US","0","21531",
"90058","STANDARD","Los Angeles","Vernon",,"CA","Los Angeles County","America/Los_Angeles","323,213,818","34","-118.21","NA","US","0","2407",
"90059","STANDARD","Los Angeles","August F. Haw","Greenmead","CA","Los Angeles County","America/Los_Angeles","310,323,213","33.92","-118.24","NA","US","0","25507",
"90060","PO BOX","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","323","33.99","-118.42","NA","US","0","0",
"90061","STANDARD","Los Angeles","August F. Haw","South","CA","Los Angeles County","America/Los_Angeles","323,213,310","33.92","-118.27","NA","US","0","18477",
"90062","STANDARD","Los Angeles",,"Westvern","CA","Los Angeles County","America/Los_Angeles","213,323","34","-118.3","NA","US","0","22057",
"90063","STANDARD","Los Angeles","Hazard",,"CA","Los Angeles County","America/Los_Angeles","323,213","34.04","-118.18","NA","US","0","35693",
"90064","STANDARD","Los Angeles","Rancho Park",,"CA","Los Angeles County","America/Los_Angeles","310,213,818,323","34.03","-118.43","NA","US","0","22483",
"90065","STANDARD","Los Angeles","Glassell, Glassell Park",,"CA","Los Angeles County","America/Los_Angeles","213,323,818","34.1","-118.22","NA","US","0","34536",
"90066","STANDARD","Los Angeles",,"Culver Cty, Mar Vista","CA","Los Angeles County","America/Los_Angeles","310,661,818,213,562,323,424","34","-118.43","NA","US","0","43203",
"90067","STANDARD","Los Angeles","Century City",,"CA","Los Angeles County","America/Los_Angeles","310,323,760,562,213","34.05","-118.41","NA","US","0","5575",
"90068","STANDARD","Los Angeles","Hollywood",,"CA","Los Angeles County","America/Los_Angeles","213,323,310","34.13","-118.33","NA","US","0","15853",
"90069","STANDARD","West Hollywood","Los Angeles, W Hollywood",,"CA","Los Angeles County","America/Los_Angeles","323,310,818,213","34.09","-118.38","NA","US","0","17126",
